"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23, 2018","2,747.30","2,715.80","2,747.76","2,713.74","0","1.60"
"Feb 22, 2018","2,703.96","2,710.42","2,731.26","2,697.77","0","0.10"
"Feb 21, 2018","2,701.33","2,720.53","2,747.75","2,701.29","0","-0.55"
"Feb 20, 2018","2,716.26","2,722.99","2,737.60","2,706.76","0","-0.58"
"Feb 16, 2018","2,732.22","2,727.14","2,754.42","2,725.11","0","0.04"
"Feb 15, 2018","2,731.20","2,713.46","2,731.51","2,689.82","0","1.21"
"Feb 14, 2018","2,698.63","2,651.21","2,702.10","2,648.87","0","1.34"
"Feb 13, 2018","2,662.94","2,646.27","2,668.84","2,637.08","0","0.26"
"Feb 12, 2018","2,656.00","2,636.75","2,672.61","2,622.45","0","1.39"
"Feb 09, 2018","2,619.55","2,601.78","2,638.67","2,532.69","0","1.49"
"Feb 08, 2018","2,581.00","2,685.01","2,685.27","2,580.56","0","-3.75"
"Feb 07, 2018","2,681.66","2,690.95","2,727.67","2,681.33","0","-0.50"
"Feb 06, 2018","2,695.14","2,614.78","2,701.04","2,593.07","0","1.74"
"Feb 05, 2018","2,648.94","2,741.06","2,763.39","2,638.17","0","-4.10"
"Feb 02, 2018","2,762.13","2,808.92","2,808.92","2,759.97","0","-2.12"
"Feb 01, 2018","2,821.98","2,816.45","2,835.96","2,812.70","0","-0.06"
"Jan 31, 2018","2,823.81","2,832.41","2,839.26","2,813.04","0","0.05"
"Jan 30, 2018","2,822.43","2,832.74","2,837.75","2,818.27","0","-1.09"
"Jan 29, 2018","2,853.53","2,867.23","2,870.62","2,851.48","0","-0.67"
"Jan 26, 2018","2,872.87","2,847.48","2,872.87","2,846.18","0","1.18"
"Jan 25, 2018","2,839.25","2,846.24","2,848.56","2,830.94","0","0.06"
"","","","","","",""
"","Highest:2,872.87","Lowest:2,532.69","Difference:340.18","Average:2,732.01","Change %:-3.18"
